Date,Open,High,Low,Close,Adj Close,Volume
2020-11-26,489.0,493.5,488.0,489.0,463.2167663574219,28893033
2020-11-27,487.5,492.0,486.5,489.0,463.2167663574219,32960189
2020-11-30,493.0,493.5,480.5,480.5,455.1649169921875,119895176
2020-12-01,489.5,490.0,483.5,490.0,464.1639709472656,37018651
2020-12-02,499.5,500.0,493.5,499.0,472.68951416015625,50621339
2020-12-03,499.5,499.5,495.0,497.0,470.7949523925781,35651379
2020-12-04,498.5,505.0,497.5,503.0,476.4786071777344,51172005
2020-12-07,512.0,515.0,506.0,514.0,486.89862060546875,44271244
2020-12-08,514.0,525.0,509.0,524.0,496.371337890625,40771761
2020-12-09,521.0,524.0,520.0,520.0,492.58221435546875,43314115
2020-12-10,511.0,515.0,510.0,512.0,485.0040588378906,42556926
2020-12-11,517.0,517.0,505.0,516.0,488.7931213378906,45660960
2020-12-14,512.0,513.0,508.0,508.0,481.2149658203125,30260485
2020-12-15,507.0,510.0,504.0,504.0,477.4259033203125,39852366
2020-12-16,509.0,515.0,507.0,512.0,485.0040588378906,52012348
2020-12-17,515.0,515.0,508.0,508.0,483.576171875,38215179
2020-12-18,508.0,512.0,507.0,510.0,485.4800109863281,39924864
2020-12-21,512.0,517.0,508.0,516.0,491.1915283203125,34813281
2020-12-22,512.0,516.0,509.0,509.0,484.5281066894531,22454277
2020-12-23,508.0,511.0,506.0,509.0,484.5281066894531,18086715
2020-12-24,511.0,512.0,508.0,510.0,485.4800109863281,14950143
2020-12-25,514.0,515.0,510.0,511.0,486.4319763183594,12327895
2020-12-28,512.0,515.0,509.0,515.0,490.23968505859375,19087382
2020-12-29,515.0,517.0,513.0,515.0,490.23968505859375,19907528
2020-12-30,516.0,525.0,514.0,525.0,499.7587890625,46292401
2020-12-31,526.0,530.0,524.0,530.0,504.5184631347656,29970398
2021-01-04,530.0,540.0,528.0,536.0,510.22998046875,38770328
2021-01-05,536.0,542.0,535.0,542.0,515.9415893554688,34411866
2021-01-06,555.0,555.0,541.0,549.0,522.6048583984375,53030554
2021-01-07,554.0,570.0,553.0,565.0,537.8356323242188,51166782
2021-01-08,580.0,580.0,571.0,580.0,552.1146240234375,59563555
2021-01-11,577.0,584.0,574.0,584.0,555.9221801757812,48810990
2021-01-12,583.0,597.0,582.0,591.0,562.585693359375,50232426
2021-01-13,595.0,605.0,593.0,605.0,575.9125366210938,62662393
2021-01-14,587.0,597.0,587.0,592.0,563.53759765625,75288477
